"ID";"BTS"
"163B";"NLP"
"163B";"NNAN"
"163B";"NLO"
"163B";"NPAR"
"163B";"NWI"
"163B";"NHEI"
"163B";"NHEIW"
"163B";"NLA"
"163B";"YFMLH"
"163B";"NHOE"
"163B";"NAH G"
"163B";"NAH"
"165";"SEG N"
"165";"SEG O"
"165";"STR N"
"165";"STR"
"165";"STRS"
"165";"SKU"
"165";"SKZK"
"165";"SKZ"
"165";"SKAZ"
"165";"SWIG"
"165";"SSOF"
"165";"SSAB"
"165";"SSER"
"165";"STB"
"165";"YFKST"
"165";"SQSL"
"165";"SSLB"
"165";"SMT"
"165";"SBES"
"165";"SMZS"
"165";"SMZM"
"165";"SMZG"
"165";"SFF"
"165";"SBE"
"165";"SDLK"
"165";"SDL"
"165";"SDLS"
"165";"SSLS"
"165";"SSLV"
"165";"SEN"
"165";"SBO"
"165";"SVLW"
"165";"SVL"
"165";"SLU"
"165";"SSHI"
"165";"SSB"
"165";"SSH W"
"165";"SSR M"
"165";"SSR N"
"165";"SSR W"
"165";"SSH R"
"165";"SSH S"
"167";"SSR N"
"167";"SDUW"
"167";"SSZ"
"167";"SSZA"
"167";"SFI"
"167";"SFIM"
"167";"SBDS"
"167";"SLWR"
"167";"SNK"
"167";"SNKW"
"167";"SNKE"
"167";"SBX"
"167";"SHO"
"167";"SQBU"
"167";"SBUM"
"167";"SHPT"
"167";"SLDN"
"167";"SLD"
"167";"SKIB"
"167";"SEF"
"167";"SVO"
"167";"SKLS"
"167";"SKEN"
"167";"SKL"
"167";"SHY"
"167";"SHY O"
"167";"RFST"
"167";"RWD"
"167";"RNFS"
"167";"RWDG"
"167";"RNFL"
"167";"RLBP"
