"TrainNumber";"connectingIDs"
43940;"43940-208-Ec#43940-208-Fc#43940-208-rz#43940-208-js#43940-208-si#43940-208-hw#43940-80-Hü#43940-80-ak#43940-81-ak#43940-80-si"
43941;"43941-4-ak#43941-380-Hü#43941-855-si#43941-855-js#43941-268-rz#43941-268-Fc#43941-268-Ec"
43944;"43944-208-Ec#43944-208-Fc#43944-208-rz#43944-208-js#43944-208-si#43944-208-hw#43944-40-Ky"
43945;"43945-30-Ky#43945-208-MS#43945-218-si#43945-218-js#43945-7-rz#43945-7-tr#43945-7-Ec"
43958;"43958-238-Ec#43958-238-Fc#43958-90-rz#43958-91-rz#43958-502-js#43958-502-si#43958-381-Hü#43958-382-Hü#43958-382-ak"
43986;"43986-0-Te#43986-1-Te#43986-2-Te#43986-3-Te#43986-0-PR#43986-0-sö#43986-1-sö"
44228;"44228-800-ko#44228-451-vk"
44422;"44422-0-Se#44422-0-UW#44422-0-me#44422-0-Ee"
44511;"44511-31-Hn#44511-30-Hn"
44609;"44609-0-An#44609-0-He#44609-0-hv#44609-0-ab#44609-0-Ar#44609-0-Bj"
44962;"44962-276-Ec#44962-278-Ec#44962-276-Fc#44962-276-rz#44962-602-js#44962-602-su#44962-602-He#44962-310-An"
44968;"44968-0-Ec#44968-0-Fc#44968-0-rz#44968-600-js#44968-600-He#44968-300-An"
45203;"45203-600-vk#45203-601-vk#45203-10-An"
45206;"45206-0-An#45206-222-vk"
45209;"45209-294-vk#45209-10-An"
45215;"45215-222-vh#45215-0-An"
45216;"45216-301-An#45216-222-vk"
45224;"45224-300-An#45224-222-vk"
45660;"45660-0-An#45660-68-vk#45660-888-vk"
45661;"45661-68-vk#45661-10-An"
45663;"45663-0-vk#45663-222-vk#45663-0-An"
45664;"45664-0-An#45664-710-vk"
45672;"45672-0-An#45672-822-vk"
45673;"45673-0-vk#45673-222-vk#45673-0-An"
45705;"45705-0-sb#45705-1-sb#45705-0-MR#45705-0-Sm"
45707;"45707-0-Sr#45707-0-sa#45707-0-ÖN"
45708;"45708-0-Du#45708-0-Mc#45708-0-Hb"
46336;"46336-0-Hu#46336-0-mv#46336-0-Pi"
46386;"46386-229-Ec#46386-229-Fc#46386-229-rz#46386-229-js#46386-229-hv#46386-300-ab#46386-301-ab#46386-907-ko#46386-300-mb#46386-301-mb"
46669;"46669-21-Bw#46669-20-Bw#46669-20-An#46669-17-vk#46669-17-hv#46669-17-js#46669-276-rz#46669-276-Fc#46669-276-Ec"
46695;"46695-11-Hn#46695-12-Hn#46695-12-An#46695-104-He#46695-104-js"
